PUSHYA1,5
LOCALS1,5
ASMINDEX1,32
MODE1,5
>ASMMODE1,13
"OPCODE,1",17
DOCPU1,13
DECODE1,75
M/CPU1,11
"IF,1",19
"ELSE,1",36
"THEN,1",25
"BEGIN,1",13
"WHILE,1",19
"UNTIL,1",21
"AGAIN,1",13
"REPEAT,1",17
NOT1,9
CS1,4
0=1,4
0<1,4
>=1,4
VS1,4
CODE-SETUP1,21
CODE-FIXUP1,13
CODE,9
(;CODE)1,17
;CODE1,15
END-CODE1,11
.A1,4
#1,4
MEM1,4
",X1",4
",Y1",4
X)1,4
)Y1,4
)1,4
"BRK,1",4
"CLC,1",4
"CLD,1",4
"CLI,1",4
"CLV,1",4
"DEX,1",4
"DEY,1",4
"INX,1",4
"INY,1",4
"NOP,1",4
"PHA,1",4
"PHP,1",4
"PLA,1",4
"PLP,1",4
"RTI,1",4
"RTS,1",4
"SEC,1",4
"SED,1",4
"SEI,1",4
"TAX,1",4
"TAY,1",4
"TSX,1",4
"TXA,1",4
"TXS,1",4
"TYA,1",4
"ADC,1",6
"AND,1",6
"CMP,1",6
"EOR,1",6
"LDA,1",6
"ORA,1",6
"SBC,1",6
"STA,1",6
"ASL,1",6
"DEC,1",6
"INC,1",6
"LSR,1",6
"ROL,1",6
"ROR,1",6
"STX,1",6
"CPX,1",6
"CPY,1",6
"LDX,1",6
"LDY,1",6
"STY,1",6
"JSR,1",6
"JMP,1",6
"BIT,1",6
