-PAIRS,30
?PAIROPEN,12
?CSP,7
!CSP,6
DO,18
LOOP,36
OLDLOOP,18
OLDDO,16
?>MARK,11
?<MARK,9
?>RESOLVE,29
?<RESOLVE,17
ADD>MARK,37
BEGIN,9
THEN,17
?DO,24
+LOOP,15
LEAVE,13
?LEAVE,16
UNTIL,15
REPEAT,0
AGAIN,15
IF,17
ELSE,27
WHILE,13
PETSCII,14
.S,50
H.,29
4H.,15
XLATE,15
DUMP,84
-->,15
ID.,15
ID.L,38
>NAME.L10,12
6SPACES,9
WORDS,51
INFO,166
TEST,36
CLRSCR,10
FLIPSCR,40
WRAP,7
PWRAP,7
PASTE,5
WRAP*,54
WRAP+,27
WRAPROLL,34
LINEINFO,33
LOGLINE,16
LOGLINE+,23
EDITCOPY,39
EDITDEL,58
EDITPASTE,86
EDITZILCH,17
EDITNOWRAP,26
>EDIT,15
+EDIT,13
_,11
^,31
EDITTOPSCR,9
EDITNEXTSCR,9
EDITPREVSCR,9
EDITQUIT,17
EDITINDEX,0
EDITSAVE,13
EDITLOAD,15
EDITVERIFY,18
EDITRESTORE,13
EDITDELSCR,0
SCRDEL,0
EDITINSSCR,56
EDITINFO,19
EDITINIT,15
EDITSPACE,38
EDITMENU,58
$INDEX,20
EDITCMD,41
(EDIT),49
EDIT,26
LIST,15
L,11
N,9
P,9
ASSEMBLER,4
XSAVE1,4
UP1,4
IP1,4
N1,4
TOS1,4
STACKL1,4
STACKH1,4
NEXT1,4
POP1,5
POPTWO1,5
PUT1,5
PUSHYA1,5
LOCALS1,5
ASMINDEX1,32
MODE1,5
doasmmode1,13
docpu1,13
"INSTR,1",19
DECODE1,75
M/CPU1,11
"BEGIN,1",9
"UNTIL,1",23
"IF,1",15
"THEN,1",35
"ELSE,1",33
"AGAIN,1",11
"WHILE,1",21
"REPEAT,1",23
NOT1,9
CS1,4
0=1,4
0<1,4
>=1,4
VS1,4
CODE-SETUP1,21
CODE-FIXUP1,13
CODE,9
(;CODE)1,17
;CODE1,15
END-CODE1,11
.A1,4
#1,4
MEM1,4
",X1",4
",Y1",4
X)1,4
)Y1,4
)1,4
"BRK,1",4
"CLC,1",4
"CLD,1",4
"CLI,1",4
"CLV,1",4
"DEX,1",4
"DEY,1",4
"INX,1",4
"INY,1",4
"NOP,1",4
"PHA,1",4
"PHP,1",4
"PLA,1",4
"PLP,1",4
"RTI,1",4
"RTS,1",4
"SEC,1",4
"SED,1",4
"SEI,1",4
"TAX,1",4
"TAY,1",4
"TSX,1",4
"TXA,1",4
"TXS,1",4
"TYA,1",4
"ADC,1",6
"AND,1",6
"CMP,1",6
"EOR,1",6
"LDA,1",6
"ORA,1",6
"SBC,1",6
"STA,1",6
"ASL,1",6
"DEC,1",6
"INC,1",6
"LSR,1",6
"ROL,1",6
"ROR,1",6
"STX,1",6
"CPX,1",6
"CPY,1",6
"LDX,1",6
"LDY,1",6
"STY,1",6
"JSR,1",6
"JMP,1",6
"BIT,1",6
